distance,elevation,gradient,hypso
13915.7377259755,2242,0.08,0.380110402449523
13903.2377259755,2241,0.0565685424949238,0.380646105273123
13842.8823869161,2237,0.07974609375,0.38120863397655
13830.3823869161,2236.00317382812,0.00025390625,0.378639360574933
13817.8823869161,2236,0.08,0.378619524777387
13805.3823869161,2235,0.16,0.379264251867663
13792.8823869161,2233,0.113137084989848,0.380044028288665
14968.0348032764,2417,0.169705627484771,0.633617692072237
13885.5600564458,2240,0.08,0.380249362804675
13873.0600564458,2239,0.08,0.380335086137229
13860.5600564458,2238,0.0565685424949238,0.380957572397071
13775.2047173865,2231,0.24,0.380937625019333
13762.7047173865,2228,0.16,0.382893319842632
13750.2047173865,2226,0.16,0.383488688450474
13737.7047173865,2224,0.16,0.384601635030327
13725.2047173865,2222,0.08,0.385544225317311
13712.7047173865,2221,0.08,0.385943282429456
13700.2047173865,2220,0.08,0.384942780176517
13687.7047173865,2219,0.16,0.385569486634364
13675.2047173865,2217,0.08,0.393844984440522
13662.7047173865,2216,0.16,0.39446537812206
13650.2047173865,2214,0.16,0.395306965572554
13637.7047173865,2212,0.24,0.39610444220251
13625.2047173865,2209,0.16,0.3979615804779
13612.7047173865,2207,0.113137084989848,0.398389075342323
14985.712472806,2422,0.282842712474619,0.631305218872083
13595.0270478568,2205,0.0562094648326025,0.398802624023337
15003.3901423357,2429,0.395979797464467,0.627954483495225
13577.3493783272,2204.00634765625,0.000179538831160647,0.395882583950908
15021.0678118654,2436,0.395979797464467,0.624537443397214
13559.6717087975,2204.00317382812,0.00025390625,0.395405564834337
15038.745481395,2441,0.282842712474619,0.622096107296225
13547.1717087975,2204,0.0565685424949238,0.3936596245846
15056.4231509247,2450,0.509116882454314,0.62024882945385
13529.4940392678,2203,0.08,0.393788171414001
13516.9940392678,2202,0.16,0.394366927644871
13504.4940392678,2200,0.16,0.395570245179446
13491.9940392678,2198,0.113012788875967,0.396688676149126
15074.1008204544,2461,0.622253967444162,0.614477570127715
13474.3163697382,2196.00219726562,0.00017578125,0.395687172721114
13461.8163697382,2196,0.0565685424949238,0.395564120931769
15091.778489984,2472,0.622253967444162,0.608520033984368
13444.1387002085,2195,0.0565685424949238,0.395685153069675
15109.4561595137,2482,0.565685424949238,0.602947717248617
13426.4610306788,2194,0.113137084989848,0.395978092045111
13353.6056916195,2180,0.24,0.403538743055997
13341.1056916195,2177,0.15939453125,0.404119176298656
13328.6056916195,2175.00756835938,0.000179538831160647,0.405124100200925
15127.1338290433,2490,0.45254833995939,0.598396871611411
13408.7833611492,2192,0.24,0.396875601292244
13396.2833611492,2189,0.32,0.398568297450792
13383.7833611492,2185,0.24,0.400968859491468
13371.2833611492,2182,0.113137084989848,0.402776600852266
13310.9280220899,2175.00439453125,0.00017578125,0.405010754787561
13298.4280220899,2175.00219726562,0.00017578125,0.404695501565712
13285.9280220899,2175,0.0565685424949238,0.403515273666544
15144.811498573,2496,0.339411254969543,0.594945412634711
13268.2503525602,2174,0.169028904198089,0.40406657497213
15162.4891681027,2500,0.226274169979695,0.592654748267782
13250.5726830305,2171.01196289062,0.00017578125,0.39996587007978
13238.0726830305,2171.009765625,0.00017578125,0.399896516485045
13225.5726830305,2171.00756835938,0.00017578125,0.398712275070104
13213.0726830305,2171.00537109375,0.00017578125,0.398600270166804
13200.5726830305,2171.00317382812,0.000179538831160647,0.373392082199487
15180.1668376323,2501,0.0565685424949238,0.592180449769529
13182.8950135009,2171,0.08,0.373360025596908
13170.3950135009,2170,0.24,0.373965793556694
13157.8950135009,2167,0.24,0.375821118109695
13145.3950135009,2164,0.07853515625,0.37762012321391
13132.8950135009,2163.01831054688,0.000179538831160647,0.378217148292573
15197.844507162,2505,0.226274169979695,0.59567510712564
13115.2173439712,2163.01513671875,0.000179538831160647,0.378207578952861
15215.5221766917,2512,0.395979797464467,0.608345833750014
13097.5396744415,2163.01196289062,0.000179538831160647,0.378198010280804
15233.1998462213,2517,0.282842712474619,0.605481865865268
13079.8620049119,2163.0087890625,0.00017578125,0.376588970005324
13067.3620049119,2163.00659179688,0.00017578125,0.376533192770495
13054.8620049119,2163.00439453125,0.00017578125,0.378772196627821
13042.3620049119,2163.00219726562,0.00017578125,0.378467215468186
13029.8620049119,2163,0.16,0.378056342799909
13017.3620049119,2161,0.24,0.379273116690474
13004.8620049119,2158,0.24,0.381031086410972
12992.3620049119,2155,0.32,0.382855997791208
12979.8620049119,2151,0.24,0.385207448654229
12967.3620049119,2148,0.16,0.387007354020906
12954.8620049119,2146,0.24,0.388139280171877
12942.3620049119,2143,0.282842712474619,0.389834802521125
15250.877515751,2522,0.282842712474619,0.603671990468434
12924.6843353822,2138,0.32,0.392608157419789
12912.1843353822,2134,0.24,0.394900458102414
12899.6843353822,2131,0.24,0.396592738745291
12887.1843353822,2128,0.169581331370891,0.398181495223106
15281.0551852806,2536,0.48,0.597096777188986
15268.5551852806,2530,0.45254833995939,0.599684116127478
12869.5066658526,2125.00219726562,0.00017578125,0.399606321620829
12857.0066658526,2125,0.0563890036637632,0.394654865122869
15311.2328548103,2549,0.4,0.594144901435794
15298.7328548103,2544,0.45254833995939,0.595607024089673
12839.3289963229,2124.00317382812,0.00025390625,0.394052386951671
12826.8289963229,2124,0.08,0.394044188169522
12814.3289963229,2123,0.08,0.394604541049522
12801.8289963229,2122,0.113137084989848,0.395153802632956
15353.91052434,2562,0.32,0.612987980722705
15341.41052434,2558,0.24,0.614339297527064
15328.91052434,2555,0.339411254969543,0.592306098599255
12784.1513267932,2120,0.169705627484771,0.396289068079235
15384.0881938696,2574,0.4,0.639279345290368
15371.5881938696,2569,0.395979797464467,0.623039961806687
12766.4736572636,2117,0.169705627484771,0.398003814939654
15401.7658633993,2580,0.339411254969543,0.642373995491542
12748.7959877339,2114,0.08,0.399668590346105
12736.2959877339,2113,0.08,0.392690999501652
12723.7959877339,2112,0.07982421875,0.393247140656894
12711.2959877339,2111.00219726562,0.00017578125,0.393325987654693
12698.7959877339,2111,0.08,0.393317484433199
12686.2959877339,2110,0.07853515625,0.3938340504522
12673.7959877339,2109.01831054688,0.000179538831160647,0.394236905699644
15419.443532929,2584,0.226274169979695,0.64018173221053
12656.1183182042,2109.01513671875,0.000179538831160647,0.394228940560673
