distance,elevation,gradient,hypso
16359.3930265901,2135,0.282179799867257,0.41277362270332
15761.9056531748,2099,0.113137084989848,0.389152753823284
15664.0503141155,2081.01196289062,0.00017578125,0.399156060677002
15651.5503141155,2081.009765625,0.00017578125,0.398759359747906
15639.0503141155,2081.00756835938,0.00017578125,0.398655233486273
15626.5503141155,2081.00537109375,0.00017578125,0.398377662583346
15614.0503141155,2081.00317382812,0.00025390625,0.398298062842308
15601.5503141155,2081,0.16,0.398296038449626
15589.0503141155,2079,0.16,0.399404909569078
15576.5503141155,2077,0.168545530421887,0.400437526754069
20245.2056147303,2692,0.16,0.515914065473058
16903.8473914164,2205.00634765625,0.000179538831160647,0.382365980790058
16341.7153570605,2130.01171875,0.000179538831160647,0.414528130843794
15892.0833227045,2100.01977539062,0.00017578125,0.417696572033894
15879.5833227045,2100.017578125,0.00017578125,0.409760523199868
15867.0833227045,2100.01538085938,0.00017578125,0.405276734083106
15854.5833227045,2100.01318359375,0.00017578125,0.405063892622258
15842.0833227045,2100.01098632812,0.00017578125,0.403639123466409
15829.5833227045,2100.0087890625,0.00017578125,0.403530782436456
15817.0833227045,2100.00659179688,0.00017578125,0.403331841737133
15804.5833227045,2100.00439453125,0.00017578125,0.403149726901873
15792.0833227045,2100.00219726562,0.00017578125,0.389111461402961
15779.5833227045,2100,0.0565685424949238,0.38900691606382
15558.8726445858,2074.0205078125,0.000179538831160647,0.401955927427979
20232.7056147303,2690,0.169705627484771,0.517462614850221
16921.5250609461,2206,0.0562094648326025,0.382362802324361
16324.0376875308,2130.00854492188,0.00017578125,0.414317740932805
16311.5376875308,2130.00634765625,0.000179538831160647,0.413388833965481
15909.7609922342,2100.02294921875,0.000179538831160647,0.417759296620388
15541.1949750562,2074.01733398438,0.000179538831160647,0.401953848541975
20215.0279452006,2687,0.282842712474619,0.518544697583661
16934.0250609461,2206.00317382812,0.00025390625,0.382398577154942
16293.8600180011,2130.00317382812,0.000179538831160647,0.410973358818758
15927.4386617638,2100.02612304688,0.000179538831160647,0.41780345403998
15523.5173055265,2074.01416015625,0.00017578125,0.401699896838853
15511.0173055265,2074.01196289062,0.00017578125,0.401689579479843
15498.5173055265,2074.009765625,0.00017578125,0.401387848265786
15486.0173055265,2074.00756835938,0.00017578125,0.40131195275971
15473.5173055265,2074.00537109375,0.000179538831160647,0.401301660260631
20197.350275671,2682,0.339411254969543,0.523614562911209
16951.7027304758,2207,0.0563890036637632,0.382074616334595
16276.1823484715,2130,0.0565685424949238,0.409213639543698
15945.1163312935,2100.029296875,0.000179538831160647,0.417847817855046
15455.8396359969,2074.00219726562,0.00017578125,0.401280661837717
15443.3396359969,2074,0.08,0.401278051973667
15430.8396359969,2073,0.08,0.401803917047632
15418.3396359969,2072,0.16,0.402358606338647
15405.8396359969,2070,0.113137084989848,0.398466862760658
20179.6726061413,2676,0.282483634812298,0.529581466631211
19070.05319837,2387,0.07974609375,0.485983359516854
19057.55319837,2386.00317382812,0.00025390625,0.48601384325318
